BugID,FI,NI,SI,RI,CC,ElapsedTime,CI,OE,OW,Priority
128863,0,0,15,15,6,220.1371412037037,6,738.0,4.0,2.0
128900,0,0,3,3,3,27.65105324074074,3,990.0,2.0,2.0
128905,0,0,45,44,10,219.94688657407409,10,1460.0,6.0,2.0
128924,0,0,36,30,9,226.09365740740745,13,734.0,8.0,4.0
128927,0,0,55,49,11,50.74778935185185,30,816.0,14.0,4.0
128970,3,0,3,2,4,311.1427777777778,4,1671.0,1.0,3.0
128996,240,105,120,56,31,8182.326354166666,67,1035.0,9.0,2.0
129078,0,0,1,1,2,72.92190972222222,1,1839.0,0.0,2.0
129119,0,0,3,1,3,70.80429398148148,2,1839.0,0.0,6.0
129129,0,0,6,6,4,218.8746412037037,4,657.0,3.0,2.0
129181,3,0,3,3,4,159.83493055555556,3,1839.0,0.0,5.0
129268,35,10,21,10,12,2514.411273148148,11,2284.0,0.0,2.0
129288,0,0,21,21,7,2.29462962962963,7,651.0,9.0,5.0
129306,17,0,136,100,18,434.1070023148148,34,,0.0,2.0
129333,0,0,36,31,9,87.27638888888889,15,668.0,5.0,2.0
129492,0,0,15,15,6,70.43347222222222,8,731.0,11.0,5.0
129531,0,0,10,10,5,216.88310185185185,8,655.0,5.0,2.0
129602,0,0,55,37,11,991.1469907407408,21,68.0,10.0,2.0
129605,0,0,10,10,5,6265.823055555556,4,2281.0,3.0,2.0
129606,0,0,10,10,5,6265.821087962963,4,2281.0,3.0,2.0
129628,0,0,45,43,10,6265.704745370371,11,2274.0,10.0,5.0
129692,0,0,3,3,3,131.86748842592593,3,1670.0,2.0,1.0
129737,0,0,21,21,7,74.29824074074074,8,735.0,7.0,4.0
129794,0,0,21,20,7,10.588888888888889,14,375.0,7.0,2.0
129795,0,0,21,16,7,228.64342592592592,14,402.0,5.0,4.0
129801,2,0,1,1,3,209.82111111111112,2,673.0,0.0,2.0
129808,0,0,45,34,10,220.7011805555556,38,37.0,21.0,2.0
129811,0,0,28,28,8,181.63282407407408,15,816.0,14.0,2.0
129875,120,45,66,9,22,7069.816747685185,36,3.0,2.0,2.0
129916,0,0,15,14,6,135.53091435185186,7,2278.0,6.0,2.0
129921,22,1,55,20,13,1951.4059953703704,21,0.0,2.0,2.0
129941,693,210,528,174,54,6263.265231481481,156,5429.0,15.0,4.0
129953,0,0,406,293,29,1471.8919097222222,77,312.0,8.0,4.0
130050,0,0,1,1,2,128.99449074074073,1,1669.0,3.0,2.0
130078,272,28,561,184,42,3122.5636458333333,161,2337.0,55.0,2.0
130080,0,0,66,65,12,408.8983333333333,33,759.0,9.0,2.0
130152,0,0,21,20,7,153.87930555555556,13,,0.0,5.0
130202,0,0,1,1,2,156.4925115740741,3,1669.0,3.0,2.0
130206,0,0,15,15,6,8.803275462962963,10,445.0,11.0,5.0
130234,39,3,78,62,16,28.50122685185185,31,327.0,1.0,5.0
130239,2,0,1,1,3,1.5988888888888888,2,2284.0,0.0,2.0
130299,7,0,21,21,8,342.1350347222222,21,820.0,10.0,2.0
130327,297,36,528,225,42,8036.214259259259,76,0.0,6.0,
130336,0,0,0,0,1,8.794629629629629,0,1839.0,0.0,2.0
130337,0,0,21,18,7,184.01538194444444,10,765.0,5.0,2.0
130359,84,15,91,54,20,1985.784039351852,68,557.0,0.0,6.0
130384,3,0,3,3,4,112.09369212962964,4,208.0,0.0,2.0
130398,0,0,6,5,4,127.36962962962964,4,1670.0,2.0,2.0
130404,0,0,1,1,2,190.992488425926,2,2282.0,2.0,3.0
